Year,Month,Entry,Exit,Riders
2009,Jan,RM,RM, 8 
2009,Jan,RM,EN, 151 
2009,Jan,RM,EP, 127 
2009,Jan,RM,NB, 87 
2009,Jan,RM,BK, 414 
2009,Jan,RM,AS, 91 
2009,Jan,RM,MA, 150 
2009,Jan,RM,19, 145 
2009,Jan,RM,12, 199 
2009,Jan,RM,LM, 42 
2009,Jan,RM,FV, 102 
2009,Jan,RM,CL, 95 
2009,Jan,RM,SL, 36 
2009,Jan,RM,BF, 34 
2009,Jan,RM,HY, 38 
2009,Jan,RM,SH, 23 
2009,Jan,RM,UC, 14 
2009,Jan,RM,FM, 38 
2009,Jan,RM,CN, 28 
2009,Jan,RM,PH, 15 
2009,Jan,RM,WC, 22 
2009,Jan,RM,LF, 9 
2009,Jan,RM,OR, 13 
2009,Jan,RM,RR, 18 
2009,Jan,RM,OW, 31 
2009,Jan,RM,EM, 278 
2009,Jan,RM,MT, 258 
2009,Jan,RM,PL, 246 
2009,Jan,RM,CC, 195 
2009,Jan,RM,16, 97 
2009,Jan,RM,24, 93 
2009,Jan,RM,GP, 25 
2009,Jan,RM,BP, 43 
2009,Jan,RM,DC, 40 
2009,Jan,RM,CM, 10 
2009,Jan,RM,CV, 5 
2009,Jan,RM,ED, 24 
2009,Jan,RM,NC, 5 
2009,Jan,RM,WP, 43 
2009,Jan,RM,SS, 10 
2009,Jan,RM,SB, 11 
2009,Jan,RM,SO, 25 
2009,Jan,RM,MB, 19 
2009,Jan,EN,RM, 123 
2009,Jan,EN,EN, 10 
2009,Jan,EN,EP, 92 
2009,Jan,EN,NB, 83 
2009,Jan,EN,BK, 922 
2009,Jan,EN,AS, 150 
2009,Jan,EN,MA, 267 
2009,Jan,EN,19, 460 
2009,Jan,EN,12, 664 
2009,Jan,EN,LM, 105 
2009,Jan,EN,FV, 136 
2009,Jan,EN,CL, 178 
2009,Jan,EN,SL, 64 
2009,Jan,EN,BF, 47 
2009,Jan,EN,HY, 86 
2009,Jan,EN,SH, 34 
2009,Jan,EN,UC, 35 
2009,Jan,EN,FM, 82 
2009,Jan,EN,CN, 44 
2009,Jan,EN,PH, 29 
2009,Jan,EN,WC, 30 
2009,Jan,EN,LF, 11 
2009,Jan,EN,OR, 15 
2009,Jan,EN,RR, 33 
2009,Jan,EN,OW, 41 
2009,Jan,EN,EM, 804 
2009,Jan,EN,MT, 742 
2009,Jan,EN,PL, 535 
2009,Jan,EN,CC, 513 
2009,Jan,EN,16, 109 
2009,Jan,EN,24, 107 
2009,Jan,EN,GP, 36 
2009,Jan,EN,BP, 95 
2009,Jan,EN,DC, 86 
2009,Jan,EN,CM, 20 
2009,Jan,EN,CV, 8 
2009,Jan,EN,ED, 47 
2009,Jan,EN,NC, 7 
2009,Jan,EN,WP, 43 
2009,Jan,EN,SS, 16 
2009,Jan,EN,SB, 22 
2009,Jan,EN,SO, 58 
2009,Jan,EN,MB, 31 
2009,Jan,EP,RM, 121 
2009,Jan,EP,EN, 121 
2009,Jan,EP,EP, 6 
2009,Jan,EP,NB, 64 
2009,Jan,EP,BK, 650 
2009,Jan,EP,AS, 78 
2009,Jan,EP,MA, 117 
2009,Jan,EP,19, 235 
2009,Jan,EP,12, 304 
2009,Jan,EP,LM, 78 
2009,Jan,EP,FV, 64 
2009,Jan,EP,CL, 66 
