Year,Month,Entry,Exit,Riders
2020,Jan,RM,RM, 20 
2020,Jan,RM,EN, 131 
2020,Jan,RM,EP, 88 
2020,Jan,RM,NB, 70 
2020,Jan,RM,BK, 437 
2020,Jan,RM,AS, 96 
2020,Jan,RM,MA, 155 
2020,Jan,RM,19, 181 
2020,Jan,RM,12, 204 
2020,Jan,RM,LM, 39 
2020,Jan,RM,FV, 78 
2020,Jan,RM,CL, 59 
2020,Jan,RM,SL, 36 
2020,Jan,RM,BF, 21 
2020,Jan,RM,HY, 30 
2020,Jan,RM,SH, 18 
2020,Jan,RM,UC, 19 
2020,Jan,RM,FM, 21 
2020,Jan,RM,CN, 22 
2020,Jan,RM,PH, 16 
2020,Jan,RM,WC, 21 
2020,Jan,RM,LF, 5 
2020,Jan,RM,OR, 7 
2020,Jan,RM,RR, 24 
2020,Jan,RM,OW, 18 
2020,Jan,RM,EM, 509 
2020,Jan,RM,MT, 514 
2020,Jan,RM,PL, 389 
2020,Jan,RM,CC, 336 
2020,Jan,RM,16, 178 
2020,Jan,RM,24, 182 
2020,Jan,RM,GP, 45 
2020,Jan,RM,BP, 61 
2020,Jan,RM,DC, 60 
2020,Jan,RM,CM, 14 
2020,Jan,RM,CV, 3 
2020,Jan,RM,ED, 11 
2020,Jan,RM,NC, 3 
2020,Jan,RM,WP, 16 
2020,Jan,RM,SS, 14 
2020,Jan,RM,SB, 25 
2020,Jan,RM,SO, 48 
2020,Jan,RM,MB, 23 
2020,Jan,RM,WD, 7 
2020,Jan,RM,OA, 8 
2020,Jan,RM,WS, 18 
2020,Jan,RM,ML, -   
2020,Jan,RM,BE, -   
2020,Jan,RM,PC, 9 
2020,Jan,RM,AN, 11 
2020,Jan,EN,RM, 120 
2020,Jan,EN,EN, 22 
2020,Jan,EN,EP, 80 
2020,Jan,EN,NB, 76 
2020,Jan,EN,BK, 764 
2020,Jan,EN,AS, 116 
2020,Jan,EN,MA, 242 
2020,Jan,EN,19, 462 
2020,Jan,EN,12, 563 
2020,Jan,EN,LM, 78 
2020,Jan,EN,FV, 80 
2020,Jan,EN,CL, 83 
2020,Jan,EN,SL, 56 
2020,Jan,EN,BF, 32 
2020,Jan,EN,HY, 57 
2020,Jan,EN,SH, 20 
2020,Jan,EN,UC, 26 
2020,Jan,EN,FM, 33 
2020,Jan,EN,CN, 28 
2020,Jan,EN,PH, 20 
2020,Jan,EN,WC, 26 
2020,Jan,EN,LF, 10 
2020,Jan,EN,OR, 8 
2020,Jan,EN,RR, 31 
2020,Jan,EN,OW, 26 
2020,Jan,EN,EM, 989 
2020,Jan,EN,MT, 890 
2020,Jan,EN,PL, 631 
2020,Jan,EN,CC, 602 
2020,Jan,EN,16, 232 
2020,Jan,EN,24, 174 
2020,Jan,EN,GP, 67 
2020,Jan,EN,BP, 85 
2020,Jan,EN,DC, 95 
2020,Jan,EN,CM, 23 
2020,Jan,EN,CV, 8 
2020,Jan,EN,ED, 22 
2020,Jan,EN,NC, 5 
2020,Jan,EN,WP, 12 
2020,Jan,EN,SS, 31 
2020,Jan,EN,SB, 36 
2020,Jan,EN,SO, 108 
2020,Jan,EN,MB, 68 
2020,Jan,EN,WD, 11 
2020,Jan,EN,OA, 25 
2020,Jan,EN,WS, 41 
2020,Jan,EN,ML, -   
2020,Jan,EN,BE, -   
2020,Jan,EN,PC, 6 
2020,Jan,EN,AN, 11 
2020,Jan,EP,RM, 87 
2020,Jan,EP,EN, 89 
2020,Jan,EP,EP, 12 
2020,Jan,EP,NB, 49 
2020,Jan,EP,BK, 641 
2020,Jan,EP,AS, 76 
2020,Jan,EP,MA, 127 
2020,Jan,EP,19, 293 
2020,Jan,EP,12, 324 
2020,Jan,EP,LM, 51 
2020,Jan,EP,FV, 47 
2020,Jan,EP,CL, 27 
2020,Jan,EP,SL, 26 
2020,Jan,EP,BF, 14 
2020,Jan,EP,HY, 22 
2020,Jan,EP,SH, 6 
2020,Jan,EP,UC, 16 
2020,Jan,EP,FM, 25 
2020,Jan,EP,CN, 14 
2020,Jan,EP,PH, 20 
2020,Jan,EP,WC, 24 
2020,Jan,EP,LF, 6 
2020,Jan,EP,OR, 7 
2020,Jan,EP,RR, 29 
2020,Jan,EP,OW, 11 
2020,Jan,EP,EM, 669 
2020,Jan,EP,MT, 608 
2020,Jan,EP,PL, 297 
2020,Jan,EP,CC, 359 
2020,Jan,EP,16, 111 
2020,Jan,EP,24, 65 
2020,Jan,EP,GP, 26 
2020,Jan,EP,BP, 30 
2020,Jan,EP,DC, 36 
2020,Jan,EP,CM, 4 
2020,Jan,EP,CV, 6 
2020,Jan,EP,ED, 11 
2020,Jan,EP,NC, 4 
2020,Jan,EP,WP, 7 
2020,Jan,EP,SS, 8 
2020,Jan,EP,SB, 13 
2020,Jan,EP,SO, 56 
2020,Jan,EP,MB, 30 
2020,Jan,EP,WD, 8 
2020,Jan,EP,OA, 22 
2020,Jan,EP,WS, 24 
2020,Jan,EP,ML, -   
2020,Jan,EP,BE, -   
2020,Jan,EP,PC, 3 
2020,Jan,EP,AN, 5 
2020,Jan,NB,RM, 70 
2020,Jan,NB,EN, 85 
2020,Jan,NB,EP, 57 
2020,Jan,NB,NB, 11 
2020,Jan,NB,BK, 204 
2020,Jan,NB,AS, 58 
2020,Jan,NB,MA, 87 
2020,Jan,NB,19, 261 
2020,Jan,NB,12, 267 
2020,Jan,NB,LM, 45 
2020,Jan,NB,FV, 64 
2020,Jan,NB,CL, 24 
2020,Jan,NB,SL, 32 
2020,Jan,NB,BF, 17 
2020,Jan,NB,HY, 25 
2020,Jan,NB,SH, 9 
2020,Jan,NB,UC, 19 
2020,Jan,NB,FM, 18 
2020,Jan,NB,CN, 19 
2020,Jan,NB,PH, 21 
2020,Jan,NB,WC, 19 
2020,Jan,NB,LF, 8 
2020,Jan,NB,OR, 9 
2020,Jan,NB,RR, 15 
2020,Jan,NB,OW, 14 
2020,Jan,NB,EM, 675 
2020,Jan,NB,MT, 554 
2020,Jan,NB,PL, 269 
2020,Jan,NB,CC, 375 
2020,Jan,NB,16, 130 
2020,Jan,NB,24, 79 
2020,Jan,NB,GP, 29 
2020,Jan,NB,BP, 33 
2020,Jan,NB,DC, 25 
2020,Jan,NB,CM, 4 
2020,Jan,NB,CV, 7 
2020,Jan,NB,ED, 13 
2020,Jan,NB,NC, 4 
2020,Jan,NB,WP, 7 
2020,Jan,NB,SS, 8 
2020,Jan,NB,SB, 8 
2020,Jan,NB,SO, 70 
2020,Jan,NB,MB, 32 
2020,Jan,NB,WD, 4 
2020,Jan,NB,OA, 22 
2020,Jan,NB,WS, 24 
2020,Jan,NB,ML, -   
2020,Jan,NB,BE, -   
2020,Jan,NB,PC, 2 
2020,Jan,NB,AN, 5 
2020,Jan,BK,RM, 390 
2020,Jan,BK,EN, 707 
2020,Jan,BK,EP, 635 
2020,Jan,BK,NB, 194 
2020,Jan,BK,BK, 42 
2020,Jan,BK,AS, 289 
2020,Jan,BK,MA, 336 
2020,Jan,BK,19, 484 
2020,Jan,BK,12, 417 
2020,Jan,BK,LM, 201 
2020,Jan,BK,FV, 252 
2020,Jan,BK,CL, 122 
2020,Jan,BK,SL, 167 
2020,Jan,BK,BF, 110 
2020,Jan,BK,HY, 116 
2020,Jan,BK,SH, 62 
2020,Jan,BK,UC, 122 
2020,Jan,BK,FM, 113 
2020,Jan,BK,CN, 97 
2020,Jan,BK,PH, 134 
2020,Jan,BK,WC, 105 
2020,Jan,BK,LF, 58 
2020,Jan,BK,OR, 44 
2020,Jan,BK,RR, 48 
2020,Jan,BK,OW, 64 
2020,Jan,BK,EM, 935 
2020,Jan,BK,MT, 721 
2020,Jan,BK,PL, 434 
2020,Jan,BK,CC, 466 
2020,Jan,BK,16, 252 
2020,Jan,BK,24, 197 
2020,Jan,BK,GP, 103 
2020,Jan,BK,BP, 76 
